EnvironmentConfiguration.model.engine.Instruction,Location,Parameters,,
bswap,Instructions/bswap.bsh.java,1,r
mov,Instructions/mov.bsh.java,2,r/m,r/m/i
lea,Instructions/lea.bsh.java,2,r16/r32,m
xlat,Instructions/xlat.bsh.java,0,,
nop,Instructions/nop.bsh.java,0,,
cmov,Instructions/cmov.bsh.java,2,r/m,r/m/i
add,Instructions/add.bsh.java,2,r/m,r/m/i
adc,Instructions/adc.bsh.java,2,r/m,r/m/i
adcx,Instructions/adcx.bsh.java,2,r32,r32/m32
adox,Instructions/adox.bsh.java,2,r32,r32/m32
sub,Instructions/sub.bsh.java,2,r/m,r/m/i
dec,Instructions/dec.bsh.java,1,r/m
neg,Instructions/neg.bsh.java,1,r/m
inc,Instructions/inc.bsh.java,1,r/m
xchg,Instructions/xchg.bsh.java,2,r/m,r/m
xadd,Instructions/xadd.bsh.java,2,r,r/m
cmp,Instructions/cmp.bsh.java,2,r/m,r/m/i
cmpxchg,Instructions/cmpxchg.bsh.java,2,r,r/m
cmpxchgs8,Instructions/cmpxchgs8.bsh.java,1,m
